Game Activity , Sep 06 2013 - Sep 06 2013,,,,,,,,,,
Location: FunHaven, Listed by Unit, Sorted by Earnings,,,,,,,,,
, Serial Number, Game Description, Staff Plays, Cust. Plays,, % Total Games, E-Tickets Issued, Paper Tickets Issued, Avg Tickets / Token, % Ticket Payout,
1, BUMPERCARS, Bumper Cars,0,33,,12.62%, , , , ,
2, 000211ATTR, Laser Frenzy,31,85,,8.14%, , , , ,
3, 000018RED, Big Bass Wheel,1,80,,7.66%,5764,0,9.01,27.02%,
4, Highway 66, Highway 66,4,40,,5.74%, , , , ,
5, Ballocity, Ballocity,0,15,,5.74%, , , , ,
6, 000015NOV, Typhoon,1,49,,4.69%, , , , ,
7, 000014VID, Terminator Salvation,4,73,,3.49%, , , , ,
8,516, Connect4,9,45,,3.23%,1339,0,4.96,14.88%,
9, ROCKWALL, Rock Climbing,0,8,,3.06%, , , , ,
10, Space, Space Balls,6,63,,3.01%,3150,0,12.5,37.50%,
11, Harpoon, Harpoon Lagoon,251,61,,2.19%,1345,0,7.35,22.05%,
12, 000058RED, Wheel Of Fortune Deluxe,0,42,,2.01%,1673,0,9.96,29.87%,
13, 000017MER, Barber Cut,0,41,,1.96%, , , , ,
14,2923, NFL 2 Minute Drill,2,39,,1.87%,1160,0,7.44,22.31%,
15, 000053MER, Toy Taxi Large #1,0,33,,1.58%, , , , ,
16, 000007MER, Apple Photo Booth,0,11,,1.58%, , , , ,
17, 000010VID, Super Bikes #1,0,32,,1.53%, , , , ,
18, 000024RED, Deal or No Deal,0,32,,1.53%,1144,0,8.94,26.81%,
19, 000030RED, Iceball #2,0,61,,1.46%,600,0,4.92,14.75%,
20, 000032RED, Iceball #4,0,60,,1.44%,589,0,4.91,14.72%,
21, 000052MER, Toy Taxi Small #3,0,29,,1.39%, , , , ,
22, 000011VID, Super Bikes #2,1,28,,1.34%, , , , ,
23, 000013VID, Super Cars #2,1,27,,1.29%, , , , ,
24, 000009VID, Dead Heat #2,0,25,,1.20%, , , , ,
25, 000042MER, Road Trip,0,24,,1.15%, , , , ,
26, 000016RED, All Aboard,0,21,,1.00%,333,0,3.96,11.89%,
27, 000029RED, Iceball #1,1,39,,0.93%,396,0,5.08,15.23%,
28, 000003VID, Dead Heat #1,0,19,,0.91%, , , , ,
29, 000006VID, Guitar Hero,2,19,,0.91%, , , , ,
30, 000060MER, Winners Cube,0,19,,0.91%, , , , ,
31, 000051MER, Toy Taxi Small #2,0,18,,0.86%, , , , ,
32, 000012VID, Super Cars #1,1,18,,0.86%, , , , ,
33, 000022RED, Crank It,0,36,,0.86%,348,0,4.83,14.50%,
34, 000054MER, Toy Taxi Large #2,0,17,,0.81%, , , , ,
35, 000027RED, Hoop Fever #2,7,30,,0.72%,0,0,0,0.00%,
36, 000028RED, Hoop Fever #3,9,30,,0.72%,0,0,0,0.00%,
37, 000035MER, Mighty Mini,0,30,,0.72%, , , , ,
38, 000005AIR, Fast Track #2,1,14,,0.67%, , , , ,
39, 000004VID, DDR X2,0,13,,0.62%, , , , ,
40, 000001AIR, Fast Track #1,1,12,,0.57%, , , , ,
41, 000025RED, Frogger,0,24,,0.57%,880,0,18.33,55.00%,
42, 000050MER, Toy Taxi Small #1,0,12,,0.57%, , , , ,
43, 000047RED, Spin N Win,2,11,,0.53%,204,0,4.64,13.91%,
44, 000002VID, Big Buck World,0,10,,0.48%, , , , ,
45, 000044RED, Slam A Winner,0,17,,0.41%,177,0,5.21,15.62%,
46, 000038RED, Hoop Troop Jr.,0,17,,0.41%,169,0,4.97,14.91%,
47, 0923-2, Cyclone #2,0,33,,0.39%,250,0,7.58,22.73%,
48, 000023RED, Cyclone #1,1,32,,0.38%,323,0,10.09,30.28%,
49, 000031RED, Iceball #3,0,15,,0.36%,150,0,5,15.00%,
50, 000008RED, Sea Wolf,0,15,,0.36%,0,0,0,0.00%,
51, 000059RED, Wheel of Fortune,0,30,,0.36%,175,0,5.83,17.50%,
52, 000033RED, Iceball #5,1,14,,0.33%,140,0,5,15.00%,
53, 000034RED, Jumpin Jackpot,0,24,,0.29%,281,0,11.71,35.12%,
54, 000036RED, Monster Drop,0,6,,0.29%,57,0,2.38,7.12%,
55,982348, Stacker,0,6,,0.29%, , , , ,
56, 000043RED, Shoot To Win Jr.,0,7,,0.17%,46,0,3.29,9.86%,
57, 000037COIN, Nascar Pusher,0,13,,0.16%,48,0,3.69,11.08%,
58, 000049RED, Tower Of Power,0,12,,0.14%,86,0,7.17,21.50%,
59, 000041RED, Red Hot,12,10,,0.12%,55,0,5.5,16.50%,
60, 000040COIN, Price Is Right Pusher,0,8,,0.10%,46,0,5.75,17.25%,
61, 000062COIN, Wonder Wheel,0,6,,0.07%,29,0,4.83,14.50%,
62, 000061COIN, Winners Wheel,0,5,,0.06%,54,0,10.8,32.40%,
63, 000048COIN, Ticket Troopers,0,5,,0.06%,36,0,7.2,21.60%,
64, 000026RED, Hoop Fever #1,9,2,,0.05%,0,0,0,0.00%,
65, 000039COIN, Pharoahs Treasure,0,3,,0.04%,5,0,1.67,5.00%,
66, 000019COIN, Big Rig Truckin,0,2,,0.02%,55,0,27.5,82.50%,
